,file,realNumber,add_len,total_len,sparse_trans,dense_trans,gpos,gquat,init_n,pred_n
152,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002746672.json,tensor([25]),tensor([0]),25,21,0,0.64302975,0.13002332,17,23
153,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002747189.json,tensor([61]),tensor([0]),61,63,0,1.1265582,0.17792362,39,65
154,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002747224.json,tensor([59]),tensor([0]),59,58,0,0.54353374,0.0579064,40,60
155,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002747381.json,tensor([41]),tensor([0]),41,37,0,0.6253288,0.14043829,21,39
156,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002747572.json,tensor([58]),tensor([0]),58,63,0,0.6836572,0.05786526,42,65
157,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002748078.json,tensor([41]),tensor([0]),41,40,0,0.78453296,0.11675806,34,42
158,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002748168.json,tensor([41]),tensor([0]),41,53,0,0.6699063,0.13278338,47,55
159,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002748832.json,tensor([74]),tensor([0]),74,73,0,1.2091907,0.13856743,47,75
160,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002748922.json,tensor([54]),tensor([0]),54,66,0,0.71456856,0.13914384,41,68
161,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002749204.json,tensor([49]),tensor([0]),49,62,0,1.0204728,0.16155227,44,64
162,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002749237.json,tensor([47]),tensor([0]),47,61,0,1.1298254,0.15163364,37,63
163,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002749372.json,tensor([62]),tensor([0]),62,53,0,0.9610539,0.22000997,27,55
164,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002749574.json,tensor([44]),tensor([0]),44,43,0,0.6069906,0.15093943,25,45
165,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002749833.json,tensor([52]),tensor([0]),52,50,0,0.7454538,0.22158533,26,52
166,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002750600.json,tensor([25]),tensor([0]),25,30,0,0.8038406,0.08385021,18,32
167,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002750880.json,tensor([25]),tensor([0]),25,27,0,0.5024518,0.09861642,27,29
168,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002750947.json,tensor([59]),tensor([0]),59,64,0,0.8319095,0.099872395,42,66
169,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002750969.json,tensor([31]),tensor([0]),31,24,0,0.66658163,0.116188064,24,26
170,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002751814.json,tensor([53]),tensor([0]),53,62,0,1.3146089,0.10928726,48,64
171,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002751926.json,tensor([25]),tensor([0]),25,23,0,0.548432,0.09691238,14,25
172,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002752242.json,tensor([39]),tensor([0]),39,38,0,0.4525335,0.09206347,18,40
173,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002752501.json,tensor([61]),tensor([0]),61,47,0,1.0577496,0.14470746,37,49
174,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002752646.json,tensor([38]),tensor([0]),38,41,0,0.7233248,0.10215411,29,43
175,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002752668.json,tensor([59]),tensor([0]),59,66,0,1.1842567,0.14919107,50,68
176,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002753018.json,tensor([27]),tensor([0]),27,26,0,0.7728367,0.090050355,26,28
177,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002753131.json,tensor([65]),tensor([0]),65,68,0,0.81927323,0.11512023,45,70
178,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002753243.json,tensor([50]),tensor([0]),50,63,0,1.1020104,0.22433543,43,65
179,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002753513.json,tensor([45]),tensor([0]),45,39,0,0.7326803,0.12486991,31,41
180,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002753625.json,tensor([78]),tensor([0]),78,87,0,1.7026374,0.14323539,62,89
181,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002753726.json,tensor([82]),tensor([0]),82,84,0,1.1186384,0.22609515,62,86
182,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002753771.json,tensor([52]),tensor([0]),52,48,0,0.8065793,0.16597074,44,50
